SCFA,Estimate,p
oral_acetic_acid,0.225226588862977,0.0141430733580881
oral_propionic_acid,0.23399776988757,0.054303721583192
oral_butyric_acid,0.0444991220391752,0.747807688480258
oral_valeric_acid,0.04631832773186,0.689862442905655
oral_isobutyric_acid,0.203831921847304,0.153490105858517
oral_isovaleric_acid,0.26707422188878,0.069323620686557
oral_hexanoic_acid,0.0654677521338353,0.384608959282965
fecal_acetic_acid,0.0268575016248548,0.637121522222888
fecal_propionic_acid,0.127124331078739,0.133369978863206
fecal_butyric_acid,0.058426499463353,0.52556096134608
fecal_valeric_acid,0.240922412375217,0.00410675070034257
fecal_isobutyric_acid,0.126816776387948,0.0573167584595064
fecal_isovaleric_acid,0.152851988891771,0.0457998725192297
fecal_hexanoic_acid,0.403949731758956,0.0308724009761277
plasma_acetic_acid,0.11642694474693,0.226490413288369
plasma_propionic_acid,0.0439682665878077,0.464455850444695
plasma_butyric_acid,-0.144939669061547,0.00140895124563746
plasma_valeric_acid,0.0105206540760426,0.840851660972306
plasma_isobutyric_acid,0.0509358770891,0.342547638974603
plasma_isovaleric_acid,0.00181076786161327,0.979915478869968
plasma_hexanoic_acid,-0.0671763573904203,0.0847585598928349
